Year, Month, Day, Hour, Minute, Second, Themistor, Temperature Probe, Platinum Rtd
2014, 10, 1, 1, 7, 22, 1.95, 19.38, 2.60
2014, 10, 1, 1, 7, 23, 1.98, 19.47, 2.57
2014, 10, 1, 1, 7, 24, 1.98, 18.58, 2.57
2014, 10, 1, 1, 7, 25, 1.90, 18.74, 2.54
2014, 10, 1, 1, 7, 26, 2.00, 19.47, 2.50
2014, 10, 1, 1, 7, 28, 1.90, 18.90, 2.50
2014, 10, 1, 1, 7, 29, 2.05, 18.58, 2.47
2014, 10, 1, 1, 7, 30, 2.03, 17.05, 2.47
2014, 10, 1, 1, 7, 31, 1.90, 19.14, 2.40
2014, 10, 1, 1, 7, 32, 1.87, 18.98, 2.44
2014, 10, 1, 1, 7, 33, 2.03, 17.05, 2.44
2014, 10, 1, 1, 7, 34, 1.90, 18.50, 2.40
2014, 10, 1, 1, 7, 35, 1.98, 17.05, 2.37
2014, 10, 1, 1, 7, 36, 2.08, 18.82, 2.37
2014, 10, 1, 1, 7, 37, 1.98, 18.90, 2.34
2014, 10, 1, 1, 7, 38, 1.82, 17.21, 2.30
2014, 10, 1, 1, 7, 40, 1.98, 18.74, 2.30
2014, 10, 1, 1, 7, 41, 1.95, 18.18, 2.34
2014, 10, 1, 1, 7, 42, 1.70, 17.21, 2.30
2014, 10, 1, 1, 7, 43, 2.05, 17.05, 2.27
2014, 10, 1, 1, 7, 44, 1.98, 19.14, 2.23
2014, 10, 1, 1, 7, 45, 2.03, 16.97, 2.23
2014, 10, 1, 1, 7, 46, 2.03, 18.98, 2.23
2014, 10, 1, 1, 7, 48, 1.95, 18.90, 2.20
2014, 10, 1, 1, 7, 49, 1.98, 18.98, 2.20
2014, 10, 1, 1, 7, 50, 1.90, 18.82, 2.17
2014, 10, 1, 1, 7, 51, 2.03, 18.74, 2.17
2014, 10, 1, 1, 7, 52, 2.05, 16.89, 2.17
2014, 10, 1, 1, 7, 53, 2.00, 19.06, 2.13
2014, 10, 1, 1, 7, 54, 2.00, 16.97, 2.13
2014, 10, 1, 1, 7, 55, 1.90, 18.42, 2.13
2014, 10, 1, 1, 7, 56, 1.55, 17.13, 2.10
2014, 10, 1, 1, 7, 57, 1.80, 17.05, 2.10
2014, 10, 1, 1, 7, 59, 1.98, 19.47, 2.10
2014, 10, 1, 1, 8, 0, 2.00, 18.98, 2.07
2014, 10, 1, 1, 8, 1, 2.05, 16.81, 2.10
2014, 10, 1, 1, 8, 2, 2.00, 19.14, 2.07
2014, 10, 1, 1, 8, 3, 1.90, 18.50, 2.10
2014, 10, 1, 1, 8, 4, 2.03, 16.97, 2.07
2014, 10, 1, 1, 8, 5, 1.93, 19.06, 2.07
2014, 10, 1, 1, 8, 6, 1.95, 18.82, 2.07
2014, 10, 1, 1, 8, 7, 1.87, 19.47, 2.07
2014, 10, 1, 1, 8, 8, 2.05, 18.66, 2.03
2014, 10, 1, 1, 8, 10, 1.62, 16.97, 2.00
2014, 10, 1, 1, 8, 11, 1.93, 19.06, 2.00
2014, 10, 1, 1, 8, 12, 2.05, 17.37, 2.03
2014, 10, 1, 1, 8, 13, 2.05, 16.81, 2.00
2014, 10, 1, 1, 8, 14, 1.93, 19.14, 2.00
2014, 10, 1, 1, 8, 15, 1.93, 19.55, 2.00
2014, 10, 1, 1, 8, 16, 1.98, 18.82, 2.00
2014, 10, 1, 1, 8, 17, 2.05, 19.06, 2.00
2014, 10, 1, 1, 8, 18, 2.00, 19.06, 1.97
2014, 10, 1, 1, 8, 19, 2.05, 17.05, 2.00
2014, 10, 1, 1, 8, 20, 1.90, 18.98, 1.93
2014, 10, 1, 1, 8, 22, 2.05, 17.05, 1.97
2014, 10, 1, 1, 8, 23, 1.95, 18.66, 1.93
2014, 10, 1, 1, 8, 24, 2.08, 16.89, 1.97
2014, 10, 1, 1, 8, 25, 1.90, 19.14, 2.00
2014, 10, 1, 1, 8, 26, 1.93, 19.22, 1.97
2014, 10, 1, 1, 8, 27, 2.03, 19.06, 1.97
2014, 10, 1, 1, 8, 28, 2.08, 16.64, 1.93
2014, 10, 1, 1, 8, 29, 2.15, 17.69, 1.97
2014, 10, 1, 1, 8, 30, 1.95, 19.06, 1.90
2014, 10, 1, 1, 8, 31, 1.93, 18.74, 1.93
2014, 10, 1, 1, 8, 32, 2.05, 16.89, 1.90
2014, 10, 1, 1, 8, 34, 2.00, 18.01, 1.93
2014, 10, 1, 1, 8, 35, 1.95, 19.06, 1.93
2014, 10, 1, 1, 8, 36, 1.95, 17.85, 1.90
2014, 10, 1, 1, 8, 37, 1.98, 18.66, 1.93
2014, 10, 1, 1, 8, 38, 2.10, 18.66, 1.93
2014, 10, 1, 1, 8, 39, 2.08, 16.89, 1.90
2014, 10, 1, 1, 8, 40, 1.95, 18.74, 1.90
2014, 10, 1, 1, 8, 41, 2.05, 19.06, 1.90
2014, 10, 1, 1, 8, 42, 2.00, 18.90, 1.90
2014, 10, 1, 1, 8, 43, 2.08, 18.01, 1.90
2014, 10, 1, 1, 8, 45, 1.93, 18.66, 1.90
2014, 10, 1, 1, 8, 46, 2.47, 18.01, 1.90
