year, month, day, hour, minute, second, Themister (Degrees C), Temperature Probe (Degrees C)
2017, 10, 20, 14, 21, 38, 22.08, 17.87
2017, 10, 20, 14, 21, 39, 22.08, 18.36
2017, 10, 20, 14, 21, 40, 22.08, 18.36
2017, 10, 20, 14, 21, 41, 22.08, 17.87
2017, 10, 20, 14, 21, 42, 22.08, 18.36
2017, 10, 20, 14, 21, 43, 22.08, 18.36
2017, 10, 20, 14, 21, 44, 22.08, 18.36
2017, 10, 20, 14, 21, 45, 22.08, 19.34
2017, 10, 20, 14, 21, 46, 22.08, 18.36
2017, 10, 20, 14, 21, 47, 22.08, 18.36
2017, 10, 20, 14, 21, 48, 22.08, 18.85
2017, 10, 20, 14, 21, 49, 22.08, 18.36
2017, 10, 20, 14, 21, 50, 22.08, 18.36
2017, 10, 20, 14, 21, 51, 22.08, 18.36
2017, 10, 20, 14, 21, 52, 22.08, 18.36
2017, 10, 20, 14, 21, 53, 22.08, 17.87
2017, 10, 20, 14, 21, 54, 22.08, 18.36
2017, 10, 20, 14, 21, 55, 22.08, 17.87
2017, 10, 20, 14, 21, 56, 22.16, 18.85
2017, 10, 20, 14, 21, 57, 22.16, 18.85
2017, 10, 20, 14, 21, 58, 22.16, 18.85
2017, 10, 20, 14, 21, 59, 22.16, 18.85
2017, 10, 20, 14, 22, 0, 22.16, 18.85
2017, 10, 20, 14, 22, 1, 22.16, 18.85
2017, 10, 20, 14, 22, 2, 22.16, 18.85
2017, 10, 20, 14, 22, 3, 22.16, 18.85
2017, 10, 20, 14, 22, 4, 22.16, 18.85
2017, 10, 20, 14, 22, 5, 22.16, 18.85
2017, 10, 20, 14, 22, 6, 22.16, 18.85
2017, 10, 20, 14, 22, 7, 22.16, 18.36
2017, 10, 20, 14, 22, 8, 22.16, 19.34
2017, 10, 20, 14, 22, 9, 22.16, 18.85
2017, 10, 20, 14, 22, 10, 22.16, 18.85
2017, 10, 20, 14, 22, 11, 22.16, 18.85
2017, 10, 20, 14, 22, 12, 22.16, 18.85
